,date,xauusd
554,2015-07-09,1160.0025922386
555,2015-07-10,1163.2725088322
556,2015-07-11,1163.1288165164
557,2015-07-12,1162.7906976744
558,2015-07-13,1159.2606795655
559,2015-07-14,1157.729723449
560,2015-07-15,1149.3668522967
561,2015-07-16,1146.294062707
562,2015-07-17,1134.5820942608
563,2015-07-18,1135.0737797957
564,2015-07-19,1134.1083073434
565,2015-07-20,1097.5136810336
566,2015-07-21,1100.6116977983
567,2015-07-22,1095.5082582724
568,2015-07-23,1089.089462347
569,2015-07-24,1098.7173378299
570,2015-07-25,1098.9010989011
571,2015-07-26,1096.7918837401
572,2015-07-27,1095.6662458388
573,2015-07-28,1096.1772343575
574,2015-07-29,1097.4335286689
575,2015-07-30,1087.3313021842
576,2015-07-31,1096.1272438887
577,2015-08-01,1096.4912280702
578,2015-08-02,1096.7918837401
579,2015-08-03,1085.9640706674
580,2015-08-04,1086.9710141063
581,2015-08-05,1085.5970115063
582,2015-08-06,1088.4293664702
583,2015-08-07,1095.5926817854
584,2015-08-08,1096.4912280702
585,2015-08-09,1089.6213565786
586,2015-08-10,1102.4520205688
587,2015-08-11,1109.4549534962
588,2015-08-12,1124.2406141425
589,2015-08-13,1113.3201854268
590,2015-08-14,1112.7976694631
591,2015-08-15,1112.3470522803
592,2015-08-16,1112.6564673157
593,2015-08-17,1119.1746354688
594,2015-08-18,1119.291677916
595,2015-08-19,1134.0922044383
596,2015-08-20,1152.3023976718
597,2015-08-21,1161.1766710321
598,2015-08-22,1161.4401858304
599,2015-08-23,1162.7906976744
600,2015-08-24,1151.3825011947
601,2015-08-25,1139.600854863
602,2015-08-26,1124.1131929317
603,2015-08-27,1125.0095549483
604,2015-08-28,1134.5687375007
605,2015-08-29,1135.0737797957
606,2015-08-30,1134.1083073434
607,2015-08-31,1134.9636505899
608,2015-09-01,1138.5528131613
609,2015-09-02,1134.5987893276
610,2015-09-03,1124.2239665157
611,2015-09-04,1123.2634742921
612,2015-09-05,1123.595505618
613,2015-09-06,1122.6494527084
614,2015-09-07,1120.6259750673
615,2015-09-08,1122.2326592254
616,2015-09-09,1107.6632222952
617,2015-09-10,1111.3298780018
618,2015-09-11,1108.4694489055
619,2015-09-12,1108.9548100915
620,2015-09-13,1108.6474501109
621,2015-09-14,1109.3848379001
622,2015-09-15,1107.4289608541
623,2015-09-16,1120.64268672
624,2015-09-17,1133.1372113766
625,2015-09-18,1138.1039328369
626,2015-09-19,1137.6564277588
627,2015-09-20,1136.6865586814
628,2015-09-21,1134.4150895995
629,2015-09-22,1124.1407135758
630,2015-09-23,1131.8808086103
631,2015-09-24,1150.8201313418
632,2015-09-25,1146.6982708369
633,2015-09-26,1147.1178663608
634,2015-09-27,1148.1056257176
635,2015-09-28,1133.2876857024
636,2015-09-29,1125.5919729331
637,2015-09-30,1113.9236255746
638,2015-10-01,1112.6179028879
639,2015-10-02,1119.8478181272
640,2015-10-03,1111.1111111111
641,2015-10-04,1136.6865586814
642,2015-10-05,1136.1089768216
643,2015-10-06,1147.6367010754
644,2015-10-07,1147.0685469463
645,2015-10-08,1138.1733245825
646,2015-10-09,1159.1035205635
647,2015-10-10,1160.0928074246
648,2015-10-11,1152.0737327189
649,2015-10-12,1163.0603400022
650,2015-10-13,1166.4658441017
651,2015-10-14,1185.9970822696
652,2015-10-15,1180.3946106325
653,2015-10-16,1176.844472555
654,2015-10-17,1176.8167107973
655,2015-10-18,1175.4334410814
656,2015-10-19,1171.8833511271
657,2015-10-20,1176.2136132778
658,2015-10-21,1165.2212371483
659,2015-10-22,1164.8719140977
660,2015-10-23,1163.3724422432
661,2015-10-24,1163.1288165164
662,2015-10-25,1162.7906976744
663,2015-10-26,1163.0191903501
664,2015-10-27,1165.1713595376
665,2015-10-28,1158.6248325272
666,2015-10-29,1147.23911114
667,2015-10-30,1139.9663001206
668,2015-10-31,1138.9521640091
669,2015-11-01,1138.9521640091
670,2015-11-02,1134.4986042035
671,2015-11-03,1118.1151216451
672,2015-11-04,1106.6870649039
673,2015-11-05,1102.0633899578
674,2015-11-06,1088.1795182428
675,2015-11-07,1088.1392818281
676,2015-11-08,1088.1392818281
677,2015-11-09,1094.0942282603
678,2015-11-10,1088.5958045007
679,2015-11-11,1085.9674052948
680,2015-11-12,1086.1865919654
681,2015-11-13,1084.3480312
682,2015-11-14,1084.8928668294
683,2015-11-15,1084.8928668294
684,2015-11-16,1084.0806970285
685,2015-11-17,1071.9590464009
686,2015-11-18,1072.226577216
687,2015-11-19,1083.7310797781
688,2015-11-20,1077.0471403129
689,2015-11-21,1076.7160161507
690,2015-11-22,1076.7160161507
691,2015-11-23,1065.7170124299
692,2015-11-24,1075.215872923
693,2015-11-25,1072.5018017436
694,2015-11-26,1073.174263078
695,2015-11-27,1055.4782420653
696,2015-11-28,1054.0184453228
697,2015-11-29,1054.0184453228
698,2015-11-30,1064.0818621725
699,2015-12-01,1067.2899841875
700,2015-12-02,1053.042406129
701,2015-12-03,1059.7078694376
702,2015-12-04,1086.8409899384
703,2015-12-05,1086.9565217391
704,2015-12-06,1086.9565217391
705,2015-12-07,1072.1606374578
706,2015-12-08,1074.9490213616
707,2015-12-09,1073.6788853748
708,2015-12-10,1072.5452523648
709,2015-12-11,1074.4382400607
710,2015-12-12,1074.4023636852
711,2015-12-13,1074.4023636852
712,2015-12-14,1063.4195419937
713,2015-12-15,1060.6043703176
714,2015-12-16,1072.2523779411
715,2015-12-17,1050.7332586259
716,2015-12-18,1065.245001153
717,2015-12-19,1064.9627263046
718,2015-12-20,1067.2358591249
719,2015-12-21,1077.7440916519
720,2015-12-22,1073.3949429836
721,2015-12-23,1070.6668288636
722,2015-12-24,1075.4152592746
723,2015-12-25,1075.5386297625
724,2015-12-26,1075.5579456843
725,2015-12-27,1075.5579456843
726,2015-12-28,1066.1889870405
727,2015-12-29,1066.3652034965
728,2015-12-30,1062.2200191437
729,2015-12-31,1061.5384360618
730,2016-01-01,1061.3147439131
731,2016-01-02,1061.8529333687
732,2016-01-03,1061.8529333687
733,2016-01-04,1074.3682402894
734,2016-01-05,1076.7040331055
735,2016-01-06,1095.7598443153
736,2016-01-07,1109.618487732
737,2016-01-08,1102.1597794594
738,2016-01-09,1101.3215859031
739,2016-01-10,1101.3215859031
740,2016-01-11,1095.012891623
741,2016-01-12,1086.8576631803
742,2016-01-13,1096.1622931362
743,2016-01-14,1077.0105162441
744,2016-01-15,1088.3294547229
745,2016-01-16,1088.1392818281
746,2016-01-17,1088.1392818281
747,2016-01-18,1087.5037961735
748,2016-01-19,1085.3048782047
749,2016-01-20,1103.7207599915
750,2016-01-21,1101.2843880895
751,2016-01-22,1097.9674365065
752,2016-01-23,1097.9961570135
753,2016-01-24,1097.9961570135
754,2016-01-25,1109.137622718
755,2016-01-26,1120.9833874142
756,2016-01-27,1124.1265013879
757,2016-01-28,1115.0053006446
758,2016-01-29,1119.9284767818
759,2016-01-30,1121.0762331839
760,2016-01-31,1114.8272017837
761,2016-02-01,1126.9030106989
762,2016-02-02,1126.9861019525
763,2016-02-03,1140.3589788742
764,2016-02-04,1154.9428654355
765,2016-02-05,1174.4881423335
766,2016-02-06,1175.0881316099
767,2016-02-07,1175.0881316099
768,2016-02-08,1189.8624708734
769,2016-02-09,1189.0959721261
770,2016-02-10,1199.5944781243
771,2016-02-11,1247.7956371195
772,2016-02-12,1236.6155215541
773,2016-02-13,1236.0939431397
774,2016-02-14,1236.0939431397
775,2016-02-15,1208.2525256105
776,2016-02-16,1200.5469153723
777,2016-02-17,1207.3435043559
778,2016-02-18,1232.6801986603
779,2016-02-19,1225.2608285095
780,2016-02-20,1223.9902080783
781,2016-02-21,1221.3740458015
782,2016-02-22,1206.2396638772
